text,label
super👍👍 ,1
çox razıyam,1
Əlaa,1
rəngi bir tık tünd götürmədiyimə peşmanam 🥲 Belə qəşəng çıxdı ✨,1
normaldi qiymwtine gore,1
orginal idi hədiyyə almışdım,1
Beyendm,1
super,1
"çox gözəldi, əla teksturası var, razı qaldım. çox sağolun, bella.az💞",1
cox qeseng teksturasi var,1
kremsidi rəngi nə çox soyuq alt tonlu nədə narıncıdı orginala oxşayır original ola bilər bella.az dan almışam xanımların şəkillərdə atdığı kimidir ola bilər kameram yaxşı çəkmir ona görə dedim,1
qiymete gore normaldi,1
"Bəyəndim,qəşəngdir🤎",1
"Rengi, teksturası çox gözeldir",1
Cox yaxsidir yagli teksturaya sahibdir,1
Ele makyaj eleki bilinmesin makuaj elemisem seriyasinandi,1
Mükemmel,1
Əla,1
хороший товар,1
əla,1
Normal,1
əla qiymətə aldım,1
əla almağa dəyər,1
yaxşıdır məsləhətdir almağa,1
"очень тонкие , даже слишком тонкие",0
yaxşıdır. disklər incədir sadəcə,1
əla 😍,1
əla və sərfəli,1
нормальные.,1
👍🏻👍🏻👍🏻Cox nazikdi amma qeseydi,1
çox qəşəng almağa dəyər,1
əla,1
əla🤌,1
хорошие и цена отличная на скидке,1
Almağa dəyər yaxşı çıxdı😊,0
Geweng di,1
Çox nazikdi deymez almağa,0
çox sərfəli və keyfiyyətlidir.1 ədədi bütün üzümü silməyə kifayət etdi,1
həm keyfiyyətli həm də qiyməti münasib 👌👌👌,1
yaxşıdı,1
🥰😍😍😍😍,1
👍выгодно,1
ela,1
Əla,1
nezikdi ama istifade si asantdi pis deyil,1
beyendim,1
Əla 👍🏻,1
хорошие.,1
yaxsi,1
əladı,1
bu qiymete qöre superdi teşekkür umiko,1
elaaa,1
"Əla,5+",1
Keyfiyyeti orta,1
bu qiymətə əlaaa bəyəndim,1
yaxsi,1
"Qiyməti çox münasibdir, 2.49👍🏻",1
eladir,1
"Хорошая цена за такое количество, очень удобно",1
"Çox yaxşı məhsuldur, təşəkkür edirəm",1
Ela. Original mehsuldur.,1
Quru dəri üçün ideal nəmləndiricidir,1
Krem superdi,1
original mehsuldur qoruma bandida ustunde idi Kanon Aptek den almisam. krem cox gozel nemlendirir ve derini berpa edir,1
Üzü çox yaxşı nemlendirir.,1
Çox bəyəndim,1
çox beyendim menim derim qurudu. derimi çox gözəl nemlendirdi,1
Süper,1
"хорошо увлажняет, рекомендую",1
uzdə əla yayilir..ama qiymetine gore olcusu balacadi,1
Heç də yaxşı nəmləndirmir. Dəyməz bu qiymətə,0
Yağlı və karma dərilər üçün əladır dərini yağlandırmadan nəmləndirir,1
"yaxşı məhsuldur,heyif ki qiyməti qalxdı",1
"Mehsul sehv geldi, uz kremi evezine, el kremi gonderilib. Ve UMICO terefinden hec bir cavab verilmir, artiq 1 heftedir",0
mukemmel.,1
meslehetdi.,1
Aldim cox kefiyyetli maldi tessevur edinki masinin isiglarin yanili qoyub gedirem cox idealdi 👍🏼,1
qiymətinə görə əla,1
Keyfiyyeti ela 👍🏻,1
"Cox keyfiyyetli mehsuldu,qirilmir dagilmir.almaga deyer",1
"Bəyəndim daha böyük çəkiləridə olsa bəyənərəm , məncə daha böyük olsa görünüş qorxusu olmuyacaq əla olacaq",1
Çox keyfiyyetli ve qiymetine göre çox münasibdir 👍🏻,1
"Eyni şəkillərdə görsəndiyi kimi gəldi, çox əladır. Bu qiymətə 3 cüt qantel yaxşıdır. Sadəcə biraz həcmi böyükdür, o da bir problem yaratmır. Kuryerlərdə vaxtında çatdırdılar. Həm birmarket, həm də Qantel Baku əməkdaşlarına təşəkkür edirəm",1
"Yaxşı qantellərdir. Sadəcə həcmi biraz böyükdür, oda məşq etməyə maneə etmir. Keyfiyyətdə yüksək səviyyədədir",1
Yaxşıdı.Sadəcə həcmi bir az böyükdü.,1
"Qantelləri kuryer çox tez çatdırdı. Çox razı qaldım, həm qantellərdən həm də ki kuryerdən. Hər kəsə tövsiyyə edirəm. Birmarketə təşəkkür edirəm.",1
Dəfdi dənə,1
👍eladi,1
normaldır,1
Əladı. Sadəcə ölçüsü çəkisinə görə biraz böyükdür.,1
Çox bəyəndim. Hazırlayanlara təşəkkür edirəm. Çatdırılma xidmətinə də çox deyirəm. qapiya kimi çatdırdılar,1
"əlaa çox gözəl və keyfiyyətli, super",1
"Əla,hərşey qeyd olunduğu kimi gəldi",1
Beyendim!,1
teşekkur edirem.ela,1
super,1
Otlucna,1
salam məhsulu bəyəndim amma ədeve vermir,1
"Cox gozel mehsuldu, qiymeti de yaxwidi. Bimarkete tesekkur edirem ki, bele bir rahat furset yaradir. Novbe gozlemeden ucuz ve keyfiyyetli mehsul aldim. Magazada 1 packasi 4 manat daha baha idi.",1
vaxtında çatdırılma əla oldu. təşəkkürlər,1
ela,1
