row_id,message,score,flag,new_score,action
60,Almağa dəyər yaxşı çıxdı😊,2,low_score_positive_text,,
69,Yaxşıdı,3,neutral_but_positive,,
78,nezikdi ama istifade si asantdi pis deyil,5,high_score_negative_text,,
82,ince nazikdi biraz. amma qiymetine gore pis deyil,3,neutral_but_positive,,
127,Heç də yaxşı nəmləndirmir. Dəyməz bu qiymətə,1,low_score_positive_text,,
434,elede yaxsi deil beyenmedim,1,low_score_positive_text,,
474,"290 bar yoxdur burda, maksimum 130-140 olar. Köpük generatoru çox balacadır, heç bir işə yaramır, yenisini aldım çindən. Məhsul zavod malına oxşamır, ele bir sexdə yığıblar, svarkanı necə gəldi ediblər, simmetriya yoxdur, təkər oxu bir tərəfdə uzundur o biri tərəfdə qısa. Tapança başlığı da o qədər yaxşı deyil, nasadka ilə olan yaxşıdır. Ümumilikdə işləməyi pis deyil. Əsas üstünlüyü şlanqın 15 metr olmasıdır. ",3,neutral_but_positive,,
595,Pis deyil İDARƏ edər,5,high_score_negative_text,,
624,pis deyil,3,neutral_but_positive,,
654,Keyfiyyəti pis deyil. Lakin tüklərinin hündürlüyü şəkildəki qədər yüksək deyil.,3,neutral_but_positive,,
778,çox super bir məhsuldu mən hömişə alıramm yararlanlram sizə də məsləhət görərəm qiyməti də münasibdii,1,low_score_positive_text,,
794,Yaxşıdı,3,neutral_but_positive,,
849,Pis deyil ama üzü çox yaglandirir,2,low_score_positive_text,,
974,yaxsi deyil,1,low_score_positive_text,,
1030,superdir,1,low_score_positive_text,,
1072,super olmasada bu qiymətə öz ıwin gorur,3,neutral_but_positive,,
1084,qiymətinə görə yaxşıdı,3,neutral_but_positive,,
1159,"uzde yiqilir qalir, hopmur, uzerinde pudra vursanir lap dehset gorsenecek, hamisi yiqilib xet xet qalacaq uzde. qirislarin arasina girir bir sozle yaxsi deyil.",3,neutral_but_positive,,
1238,sabitlemesi ela ag iz buraxir,2,low_score_positive_text,,
1244,bəyəndim gunboyu yaxsi saxlayir sadece ağ kimi görünür,3,neutral_but_positive,,
1251,yaxşıdı amma içi çox azdı,1,low_score_positive_text,,
1414,Chox suretli hazirlanin kargoya tehvil verildi. Paketlenmesi seliqeli ozenli. Kichik hediyyenide pisiyim chox beyendi😇chox saagolun,5,high_score_negative_text,,
1462,yaxsidi işləyir lakin ilk defe ölçürsen ikinci defe olçende 10 aşağı gosderir tezyigi,3,neutral_but_positive,,
1591,"Açıqı, burdaki sonuncu rəyi oxudum, və düşündüm ki, rəy qərəzli yazılıb. Çünki bu qədər adam, müsbət rəy yazsın, bir adam bunun tam əskini - ola bilməz. Qəhvəni bu gün dadına baxdım, və 1* rəy verən müştəri düz yazıb. :) Ya, daha öncə alınan qəhvələr başqa olub, biz isə başqasından almışıq, ya da 5* verən yoldaşlar indiyədək yaxşı qəhvə içməyiblər.
Bu qəhvə ya çox aşaqı keyfiyyətlidir, ya qovrulmada problem var (öncədən əlaqə saxlamışdım, dedilər orta qovurulmadır), ya satıcı yalan danışır, bu arabika deyil... Nə isə, həqiqi mənada, heyif bu məhsula verilən puldan. Qəhvə sevənlərə məsləhət görmürəm.",1,low_score_positive_text,,
1618,Mehsul yaxsidir pis deyil. Amma mehsulu almisdim 28 manata. Indi ise aldim 29 manata. Umid edirem qiymet tekrar deyismez.,3,neutral_but_positive,,
1631,"Qiymətinə görə şübhələnmişdim, amma rəylərdə yaxşı yazıldığına inanıb aldım.Məsləhət görmürəm, kənar qatqıları çoxdur",1,low_score_positive_text,,
1990,pultu islemir hele qoymamisam masinin ustune orta yaxsidialmaga deyer amma,3,neutral_but_positive,,
2017,Salam aldım heç yaxşı işləmir qızır çox qızır leddəri isdifadəsiz hala gəlib 1 cə dəfə isdifadə etmişəm,1,low_score_positive_text,,
2028,pultu yaxşı islemedi,3,neutral_but_positive,,
2047,ela,2,low_score_positive_text,,
2051,yaxşıdı bidənə pis cəhəti puntunun daşı tapılmır,3,neutral_but_positive,,
2057,pult işlese yaxşıdı,3,neutral_but_positive,,
2119,"Her zaman alib razi qaldigim, salfetlerin de axir ki zayini cixartdilar. Haqqinda evvelki sifarislerimde yaxsi rey bildirdiyim salfetler ucun teessuf hissi ile bele bir rey yazacagam. Cox yumsaq ve gozel qoxusu olan salfetleri son bir nece defedir ki endirimli qiymetle elde edirem ve netice cox teessuf ki, cox pis. Hem yumsaqliqdan eser elamet yoxdur, hem de qoxusu deyisib. Cox heyf!!!!",1,low_score_positive_text,,
2270,keyfiyyəti yaxşı deyildi.,1,low_score_positive_text,,
2326,mehsul yaxsidi ama icinin demri olmadan getirmisdiler,2,low_score_positive_text,,
2643,Orda xususiyyetlerinde eyilme bucaqi 15 derece yazib ele bir shey yoxdu ondan da elave qacis lentinin uzerinde leke var,1,low_score_positive_text,,
2658,qiymətə görə normal saymaq olar pis deyil,5,high_score_negative_text,,
2703,yaxsidi amma  razmer sehvliyi var,2,low_score_positive_text,,
2762,pis deyil işləyir,5,high_score_negative_text,,
2786,co gesey paduskadi qiymetide pis deyil,5,high_score_negative_text,,
2802,pis deyil,5,high_score_negative_text,,
2820,Bashligi qiriq idi.. bele amma superdi,2,low_score_positive_text,,
2821,"Bu nece şeydir? Bella.az Çox pis işleyirsiz, görün baxın bir men Hansı rengi sifariş vermişem, her üreyiniz istedi göndermeyin camaataaaaaa. Çoxxxxx pisssssss",5,high_score_negative_text,,
2823,yaxşıdı,2,low_score_positive_text,,
3089,belede pis deyil,3,neutral_but_positive,,
3110,"Pis deyil . İstifadə etdim Yaxşl qoxsu var. 60 dərəcədə əla köpüklənir
40 dərəcədə o qədər də yox
Hədiyyə üçün də Təşəkkürlər🌹",5,high_score_negative_text,,
3405,"Hərşey yaxşıdır olmağına. Lakin altındakı podstavka qutudan çıxmayıb,niyə?",3,neutral_but_positive,,
3476,"Telefon yaxşıdır. Normal işləyir. amma qeydiyyatdan keçməyib. Mənə mesaj gəldi ki, qeydiyyatdan keçin. Satıcı qeydiyyatsız satır.",3,neutral_but_positive,,
3649,"bəli,yaxşıdır",3,neutral_but_positive,,
3678,Hələki pis deyil normaldır,5,high_score_negative_text,,
3776,Yorumlada saati pisleyirler amma men 7m aldim ve çox keyfiyetlidir duşunmeden alin❤,5,high_score_negative_text,,
3777,"Cox pis mehsuldu pesman oldum aldiqima
Esil oyuncaqdir usaqlar oynamaqa yaxsidir.",1,low_score_positive_text,,
3799,Məhsulun keyfiyyəti ortadır.ancaq arxa təkərə yarıyir.balansa güclə gəlir. elədə yaxşı deyil,1,low_score_positive_text,,
4000,İlk başda zəyif və pis kimi görsənsədə bir iki doxunuşda mükəməl pərformansları ortaya çıxır,5,high_score_negative_text,,
4016,"Qeyner pis deyil, işini görür, tez-tez alıram.",5,high_score_negative_text,,
4066,cox pisdir almaqa deymir alan pewman olacaq,5,high_score_negative_text,,
4077,aldım istifadə elədim pis deyil,5,high_score_negative_text,,
4191,basliqi yaxsi deil wurupu sixa bilmir wesdirnani yeyir,1,low_score_positive_text,,
